name,yrnom,posit,recess,success,id,analu,seatid,spaethid,zukid,birdate,biryear,birthcit,birthst,childcit,childst,childsur,famses,famjud,nomrelig,natorig,race,gender,mothname,fathname,fathoccu,fathpol,fathpoln,undsch,undsta,unddat,undschn,gradsch,gradsta,graddat,gradschn,lawsch,lawsta,lawdat,lawschn,read,readst,readyr,readn,marryn,spouse,marryr,child,militbr,milityr1,milityr2,militran,militwar,clerkj,clerkyr1,clerkyr2,barst1,baryr1,barst2,baryr2,barst3,baryr3,privtyp1,privst1,privyrf1,privyrl1,privtyp2,privst2,privyrf2,privyrl2,schname1,schrank1,schyrf1,schyrl1,schname2,schrank2,schyrf2,schyrl2,schn,schcon,sttrist,sttriyr1,sttriyr2,stapst,stapyr1,stapyr2,stsupst,stsupyr1,stsupyr2,feddist,feddi,feddiyr1,feddiyr2,fedca,fedcayr1,fedcayr2,usasat,usasat1,usasat2,usat,usat1,usat2,ussgo1,ussgo2,ussg1,ussg2,usago1,usago2,usag1,usag2,uscab,uscab1,uscab2,ussec,ussec1,ussec2,usage,usage1,usage2,usagh,usagh1,usagh2,uspres1,uspres2,ushr1,ushryrf1,ushryrl1,ushr2,ushryrf2,ushryrl2,ussn1,ussnyrf1,ussnyrl1,ussn2,ussnyrf2,ussnyrl2,conconv,concong,concong1,concong2,artcon,artcon1,artcon2,artconsp,citat,citat1,citat2,cdep,cdep1,cdep2,cdis,cdis1,cdis2,saag,saag1,saag2,stag,stag1,stag2,ltgov,ltgov1,ltgov2,gov,gov1,gov2,stcab,stcab1,stcab2,mayor,mayor1,mayor2,stsenate,stsen1,stsen2,sthouse,sthse1,sthse2,ctycl,ctycl1,ctycl2,commsn,commsn1,commsn2,datenom,datesen,judnom,usjnom,stjnom,prsznom,prstnom,prposnom,prschnom,govatnom,uslenom,uslesnom,stlenom,stlesnom,stexpnom,stexsnom,usexnom,yrposnom,agenom,stnom,parnom,prparnom,prdssr,presname,prespart,nompres,socpres,econpres,senparty,nomsen,ideo,mednmq1,medmq1,mednmq2,medmq2,qual,abarate,abavote,heardate,heardays,comdvote,comvote,intpro,intanti,sendate,senact,sensupp,senopp,serve,withdraw,dateserb,npart,nops,judgment,ndis,nconr,ncons,percrim,ncrim,percr,ncr,perfir,nfir,perunn,nunn,perecon,necon,perfed,nfed,perftax,nftax,datesere,agedep,reasdep,postdep,scssr,deathd,deathcit,deathst,deathag
"Crittenden, John",1828,associat,"no, not","no, nomi","34. crittenden, john",first re,7.03,no spaet,888,09/10/1786,1786,woodford,kentucky,woodford,kentucky,rural,upper-mi,no tradi,protesta,welsh/ french huguenot,white,male,"Harris, Judith","Crittenden, John",landowner,city tru,2,william,graduate,1807,2,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Bibb, George M.",kentucky,1804,nominee,3,"Ashley, Elizabeth Moss",1853,9,kentucky,1812,1813,other,war of 1,nominee did not clerk for a supreme court justice,nominee,nominee,kentucky,1807,nominee,nominee,nominee,nominee,solo pra,kentucky,1807,1808,solo pra,kentucky,1819,1827,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,kentucky,1827,1828,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,kentucky,1817,1819,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,illinois,1809,1810,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,kentucky,1811,1817,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,12/17/1828,12/18/1828,nominee,nominee,nominee,not a pv,not a pv,nominee,nominee,u.s. att,nominee,nominee,nominee,nominee,888,nominee,nominee,2,41,kentucky,democrat,no known,"Trimble, Robert","adams, john quincy",democrat,0.404,data unav,data unav,democrat,0.113,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,01/26/1829,reported,no recor,no recor,02/12/1829,postpone,17,23,nominati,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,nominee not,nominee not,nominee not,nominee not,nominee not,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,nominee,nominee not confirmed or did not serve,nominee,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,07/26/1863,frankfor,kentucky,76
"McLean, John",1829,associat,"no, not","yes, nom","35. mcclean, john",first re,7.04,22,888,03/11/1785,1785,morris c,new jers,unknown,virginia,rural,lower-mi,no tradi,methodis,scotch/irish,white,male,"Blackford, Sophia","McLean, Fergus",weaver,no polit,no polit,no under,no under,no under,no under,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"St. Clair, Arthur, Jr.",ohio,1806,nominee,2,"Gerrard, Sarah Bellow Ludlow",1843,8,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,ohio,1807,nominee,nominee,nominee,nominee,solo pra,ohio,1807,1811,only one,only one,only one,only one,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,ohio,1816,1822,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,post off,1823,1829,united s,1811,1812,united s,1822,1823,nominee,nominee,ohio,1813,1816,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,03/06/1829,03/06/1829,nominee,nominee,nominee,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,postmast,6,43,ohio,democrat,democrat,"Trimble, Robert","jackson, andrew",democrat,-0.255,data unav,data unav,democrat,0.0875,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,888. NO REFERRAL,no refer,888. NO REFERRAL,no refer,no recor,no recor,03/07/1829,confirme,voice vo,voice vo,nominee,888. NOMINATION NOT WITHDRAWN,01/11/1830,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,04/04/1861,76,died in office,justice,"Swayne, Noah Haynes",04/04/1861,cincinna,ohio,76
"Baldwin, Henry",1830,associat,"no, not","yes, nom","36. baldwin, henry",first re,4.04,23,888,01/14/1780,1780,new have,connecti,new have,connecti,family f,lower-mi,no tradi,episcopa,english,white,male,"Wolcott, Theodora","Baldwin, Michael",small farmer,no polit,no polit,yale uni,graduate,1797,1,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Dallas, Alexander",pennsylv,1798,nominee,2,"Ellicott, Sally",1805,1,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,pennsylv,1798,nominee,nominee,nominee,nominee,small pa,pennsylv,1798,1816,small pa,pennsylv,1822,1829,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,pennsylv,1817,1822,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,pennsylv,1799,1801,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,01/05/1830,01/05/1830,nominee,nominee,nominee,small pa,pennsylv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,7,49,pennsylv,democrat,federali,"Washington, Bushrod","jackson, andrew",democrat,-0.255,data unav,data unav,democrat,0.0875,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,888. NO REFERRAL,no refer,888. NO REFERRAL,no refer,no recor,no recor,01/05/1830,confirme,41,2,nominee,888. NOMINATION NOT WITHDRAWN,01/18/1830,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,04/21/1844,64,died in office,justice,"Grier, Robert Cooper",04/21/1844,philadel,pennsylv,64
"Wayne, James Moore",1835,associat,"no, not","yes, nom","37. wayne, james moore",first re,6.05,24,888,999. UNKNOWN,1790,savannah,georgia,savannah,georgia,family p,upper,no tradi,episcopa,english,white,male,"Clifford, Elizabeth","Wayne, Richard",plantation owner,state lo,1,princeto,graduate,1808,1,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Chauncey, Charles",connecti,1810,nominee,1,"Campbell, Mary Johnson",1813,3,georgia,1812,1812,captain,war of 1,nominee did not clerk for a supreme court justice,nominee,nominee,georgia,1810,nominee,nominee,nominee,nominee,small pa,georgia,1810,1816,small pa,georgia,1819,1822,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,georgia,1820,1828,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,georgia,1829,1835,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,savannah,1817,1819,nominee,nominee,nominee,georgia,1815,1816,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,01/06/1835,01/07/1835,nominee,nominee,nominee,not a pv,not a pv,nominee,nominee,nominee,member o,georgia,nominee,nominee,888,nominee,nominee,6,45,georgia,democrat,no known,"Johnson, William","jackson, andrew",democrat,-0.255,data unav,data unav,divided,-0.001,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,01/09/1835,reported,no recor,no recor,01/09/1835,confirme,voice vo,voice vo,nominee,888. NOMINATION NOT WITHDRAWN,01/14/1835,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,07/05/1867,77,died in office,justice,"Bradley, Joseph P.",07/05/1867,washingt,district,77
"Taney, Roger Brooke",1835,associat,"no, not","no, nomi","38. taney, roger brooke",first re,5.04,25,888,03/17/1777,1777,calvert,maryland,calvert,maryland,family p,upper,no tradi,roman ca,english,white,male,"Brooke, Monica","Taney, Michael",tobacco planter,state le,1,dickinso,graduate,1795,1,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Chase, Jeremiah",maryland,1798,nominee,1,"Key, Anne P.C.",1806,7,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,maryland,1799,nominee,nominee,nominee,nominee,solo pra,maryland,1799,1823,solo pra,maryland,1823,1826,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,1831,1833,nominee,nominee,nominee,treasury,1833,1834,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,maryland,1827,1831,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,maryland,1816,1821,maryland,1799,1800,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,01/15/1835,01/15/1835,nominee,nominee,nominee,solo pra,maryland,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,2,57,maryland,democrat,federali,"Duvall, Gabriel","jackson, andrew",democrat,-0.255,data unav,data unav,divided,-0.001,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,888. NO REFERRAL,no refer,888. NO REFERRAL,no refer,no recor,no recor,03/03/1835,postpone,21,24,nominati,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,nominee not,nominee not,nominee not,nominee not,nominee not,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,nominee,nominee not confirmed or did not serve,nominee,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,10/12/1864,washingt,district,87
"Taney, Roger Brooke",1835,chief ju,"no, not","yes, nom","39. taney, roger brooke",second r,1.08,25,888,03/17/1777,1777,calvert,maryland,calvert,maryland,family p,upper,no tradi,roman ca,english,white,male,"Brooke, Monica","Taney, Michael",tobacco planter,state le,1,dickinso,graduate,1795,1,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,"Chase, Jeremiah",maryland,1798,nominee,1,"Key, Anne P.C.",1806,7,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,maryland,1799,nominee,nominee,nominee,nominee,solo pra,maryland,1799,1823,solo pra,maryland,1823,1826,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,1831,1833,nominee,nominee,nominee,treasury,1833,1834,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,maryland,1827,1831,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,maryland,1816,1821,maryland,1799,1800,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,12/28/1835,12/28/1835,nominee,nominee,nominee,solo pra,maryland,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,2,58,maryland,democrat,federali,"Marshall, John","jackson, andrew",democrat,-0.255,data unav,data unav,democrat,-0.1735,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,01/05/1836,reported,no recor,no recor,03/15/1836,confirme,29,15,nominee,888. NOMINATION NOT WITHDRAWN,03/28/1836,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,10/12/1864,87,died in office,justice,"Chase, Salmon Portland",10/12/1864,washingt,district,87
"Barbour, Philip Pendelton",1835,associat,"no, not","yes, nom","40. barbour, philip pendleton",first re,5.05,26,888,05/25/1783,1783,orange c,virginia,orange c,virginia,family f,upper,"yes, tra",episcopa,scotch,white,male,"Thomas, Mary P.","Barbour, Thomas",plantation owner,state le,1,william,attended,1801,1,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,Self taught,virginia,1800,self-tau,1,"Johnson, Frances Todd",1804,7,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,virginia,1800,nominee,nominee,nominee,nominee,solo pra,kentucky,1800,1801,solo pra,virginia,1802,1812,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,virginia,1825,1827,nominee,nominee,nominee,nominee,nominee,nominee,virginia,virginia,1830,1836,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,virginia,1814,1825,virginia,1827,1830,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,virginia,1812,1814,nominee,nominee,nominee,virginia: state constitutionl convention,1829,1830,12/28/1835,12/28/1835,u.s. dis,u.s. dis,nominee,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,6,51,virginia,democrat,democrat,"Duvall, Gabriel","jackson, andrew",democrat,-0.255,data unav,data unav,democrat,-0.1735,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,01/05/1836,reported,no recor,no recor,03/15/1836,confirme,30,11,nominee,888. NOMINATION NOT WITHDRAWN,05/12/1836,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,02/25/1841,57,died in office,justice,"Daniel, Peter Vivian",02/25/1841,washingt,district,57
"Smith, William",1837,associat,"no, not","no, nomi","41. smith, william",first re,9.01,no spaet,888,999. UNKNOWN,1762,unknown,north ca,"york, so",south ca,small to,lower,no tradi,unknown,english/scotch,white,male,999. UNKNOWN,999. UNKNOWN,unknown,unknown,unknown,no under,no under,no under,no under,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,999. UNKNOWN,south ca,1784,unknown,1,"Duff, Margaret",1781,1,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,south ca,1784,nominee,nominee,nominee,nominee,solo pra,south ca,1784,1808,only one,only one,only one,only one,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,south ca,1808,1816,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,south ca,1816,1823,south ca,1826,1831,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,south ca,1802,1808,south ca,1796,1797,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,03/03/1837,03/03/1837,nominee,nominee,nominee,not a pv,not a pv,nominee,nominee,nominee,nominee,nominee,member,alabama,888,nominee,nominee,2,75,alabama,democrat,no known,NEWLY CREATED SEAT,"jackson, andrew",democrat,-0.255,data unav,data unav,democrat,-0.1735,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,03/08/1837,reported,no recor,no recor,03/08/1837,confirme,23,18,nominee,888. NOMINATION NOT WITHDRAWN,888. NOT CONFIRMED OR DIDN'T SERVE,nominee not,nominee not,nominee not,nominee not,nominee not,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,nominee n,nominee not,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,nominee,nominee not confirmed or did not serve,nominee,888. NOMINEE NOT CONFIRMED OR DIDN'T SERVE,06/26/1840,huntsvil,alabama,78
"Catron, John",1837,associat,"no, not","yes, nom","42. catron, john",first re,8.01,27,888,999. UNKNOWN,1786,unknown,pennsylv,unknown,virginia,rural,lower,no tradi,presbyte,german,white,male,999. UNKNOWN,"Catron, Peter",small farmer,no polit,no polit,no under,no under,no under,no under,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,Self taught,tennesse,1814,self-tau,1,"Childress, Mary",1807,0,army,1812,1812,enlisted,war of 1,nominee did not clerk for a supreme court justice,nominee,nominee,tennesse,1815,nominee,nominee,nominee,nominee,solo pra,tennesse,1815,1818,solo pra,tennesse,1834,1837,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,tennesse,1824,1834,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,tennesse,1815,1818,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,03/03/1837,03/03/1837,nominee,nominee,nominee,solo pra,tennesse,nominee,nominee,nominee,nominee,nominee,nominee,nominee,888,nominee,nominee,3,51,tennesse,democrat,no known,NEWLY CREATED SEAT,"jackson, andrew",democrat,-0.255,data unav,data unav,democrat,-0.1735,data unav,data una,data unav,data una,data unav,data unav,no aba rating,no aba r,666. NO RECORD OF HEARING,referred,03/08/1837,reported,no recor,no recor,03/08/1837,confirme,28,15,nominee,888. NOMINATION NOT WITHDRAWN,05/01/1837,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,05/30/1865,79,died in office,justice,777. SEAT ABOLISHED,05/30/1865,nashvill,tennesse,79
"McKinley, John",1837,associat,"yes, rec",recess a,"43. mckinley, john",first re,9.02,28,888,05/01/1780,1780,culpeppe,virginia,lincoln,kentucky,rural,upper-mi,no tradi,protesta,scotch,white,male,"Logan, Mary","McKinley, Andrew",physician,no polit,no polit,no under,no under,no under,no under,no gradu,no gradu,no gradu,no gradu,no law s,no law s,no law s,no law s,Self taught,kentucky,1800,self-tau,2,"Armistead, Elizabeth",unknown,unknown,did not,did not,did not,did not,did not,nominee did not clerk for a supreme court justice,nominee,nominee,kentucky,1800,nominee,nominee,nominee,nominee,solo pra,kentucky,1800,1818,solo pra,alabama,1818,1826,didn't t,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,alabama,1833,1835,nominee,nominee,nominee,alabama,1826,1831,alabama,1837,1837,no: nomi,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,nominee,alabama,1820,1822,nominee,nominee,nominee,nominee did not serve on a st commission,nominee,nominee,04/22/1837,RECESS APPT,nominee,nominee,nominee,not a pv,not a pv,nominee,nominee,nominee,member o,alabama,nominee,nominee,888,nominee,nominee,0,56,alabama,democrat,no known,NEWLY CREATED SEAT,"van buren, martin",democrat,0.096,data unav,data unav,democrat,-0.238,data unav,data una,data unav,data una,data unav,recess ap,recess appointment,recess a,777. RECESS APPOINTMENT,recess a,777. RECESS APPOINTMENT,recess a,recess a,recess a,777. RECESS APPT,recess a,recess a,recess a,recess a,777. RECESS APPOINTMENT,999. UNCLEAR,data unavail,data unavail,data unavail,data unavail,data unavail,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,data unav,data unavail,01/09/1838,58,recess appointee confirmed,u.s. sup,666. RECESS APPOINTEE REPLACED HIMSELF,07/19/1852,louisvil,kentucky,72
